"courseSectionExternalId","staffExternalId"
"PE  029A JP-02 SP2023","30255736"
"PE  029D JP-01 SP2023","30255736"
"PE  040  PO-02 SP2023","10308956"
"PE  042  JP-01 SP2023","30027303"
"PE  055A PO-01 SP2023","10355923"
"PE  055B PO-01 SP2023","10355923"
"PE  073  PO-01 SP2023","10347989"
"PE  073J JP-01 SP2023","30346589"
"PE  077D PO-01 SP2023","10308956"
"PE  079  PO-01 SP2023","10370462"
"PE  087  PO-01 SP2023","10163975"
"PE  115  JP-01 SP2023","30023264"
"PE  150  PO-01 SP2023","10043270"
"PE  245  JP-01 SP2023","30031488"
"PHIL007  PZ-01 SP2023","50456339"
"PHIL030  CM-01 SP2023","30182165"
"PHIL032  PO-01 SP2023","10358198"
"PHIL080  PO-01 SP2023","10340519"
"PHIL108  PZ-01 SP2023","50456339"
"PHIL170  SC-01 SP2023","20179112"
"PHIL185C PZ-01 SP2023","50010693"
"PHIL191  SC-01 SP2023","20042124"
"PHYS031L KS-02 SP2023","20042124"
"PHYS031L KS-03 SP2023","20042124"
"PHYS031LXKS-05 SP2023","20280591"
"PHYS042  PO-01 SP2023","10361305"
"PHYS042  PO-02 SP2023","10361305"
"PHYS049B HM-02 SP2023","40005340"
"PHYS050  HM-02 SP2023","40220669"
"PHYS052  HM-01 SP2023","40002362"
"PHYS142  PO-01 SP2023","10040539"
"PHYS189L KS-01 SP2023","20042221"
"PHYS191E PO-16 SP2023","10348196"
"POLI113  SC-01 SP2023","20244938"
"POLI187K JT-01 SP2023","20280924"
"POLI189T PO-01 SP2023","10370069"
"POST070  PZ-01 SP2023","50452082"
"POST107  CH-01 SP2023","50461411"
"PPE 011A CM-02 SP2023","30260376"
"PSYC030  CM-01 SP2023","30214075"
"PSYC051  PO-01 SP2023","10087641"
"PSYC051  PO-03 SP2023","10038267"
"PSYC106  PO-01 SP2023","10235574"
"PSYC110  CM-01 SP2023","30274074"
"PSYC154  CM-01 SP2023","30198177"
"PSYC197B CM-06 SP2023","30025477"
"PSYC197B CM-08 SP2023","30323938"
"RLST130B CM-01 SP2023","30378924"
"RLST169  CM-01 SP2023","30274210"
"RUSS191  PO-04 SP2023","10087503"
"SCI 010L CM-01 SP2023","30159755"
"SOC 001  PZ-02 SP2023","50461085"
"SOC 030  CH-01 SP2023","10370226"
