"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"ARBC014  CM-01 SP2023158407","ARBC014  CM-01 SP2023","1901","2000","-MTWR--","CM KRV 164","OnCampus"
"ARBC044  CM-01 SP2023158409","ARBC044  CM-01 SP2023","1000","1050","-MTWR--","CM KRV 164","OnCampus"
"ARBC148  CM-01 SP2023158411","ARBC148  CM-01 SP2023","1615","1730","-M-W---","CM KRV 166","OnCampus"
"ARCN144  SC-01 SP2023159001","ARCN144  SC-01 SP2023","1900","2145","--T----","SC OUTD 01","OnCampus"
"ARCN191  SC-01 SP2023161131","ARCN191  SC-01 SP2023","0","0","-------","SC ARR ","OnCampus"
"ARHI001B PO-01 SP2023159942","ARHI001B PO-01 SP2023","1100","1215","-M-W---","PO STAR 122","OnCampus"
"ARHI120  PO-01 SP2023159943","ARHI120  PO-01 SP2023","935","1050","--T-R--","PO LE 113","OnCampus"
"ARHI132  PO-01 SP2023160871","ARHI132  PO-01 SP2023","1315","1600","---W---","PO ARR ARR","OnCampus"
"ARHI134  PO-01 SP2023159944","ARHI134  PO-01 SP2023","1100","1215","-M-W---","PO LE 217","OnCampus"
"ARHI136  JT-01 SP2023159002","ARHI136  JT-01 SP2023","1445","1730","--T----","SC ST 101","OnCampus"
"ARHI141A PO-01 SP2023159946","ARHI141A PO-01 SP2023","1315","1600","--T----","PO LE 110","OnCampus"
"ARHI151  SC-01 SP2023159003","ARHI151  SC-01 SP2023","1100","1215","--T-R--","SC HM 121","OnCampus"
"ARHI177  SC-01 SP2023159004","ARHI177  SC-01 SP2023","935","1050","-M-W---","SC BX 108","OnCampus"
"ARHI178  PO-01 SP2023159947","ARHI178  PO-01 SP2023","1315","1600","----R--","PO LE 110","OnCampus"
"ARHI179E HM-01 SP2023156592","ARHI179E HM-01 SP2023","1100","1215","--T-R--","HM SHAN 2450","OnCampus"
"ARHI183  PZ-01 SP2023161236","ARHI183  PZ-01 SP2023","1445","1730","-M-----","PZ BH 210","OnCampus"
"ARHI185  SC-01 SP2023159005","ARHI185  SC-01 SP2023","1100","1215","--T-R--","SC ST 101","OnCampus"
"ARHI186B PZ-01 SP2023160511","ARHI186B PZ-01 SP2023","1315","1600","-----F-","PZ AV 224","OnCampus"
"ARHI186C SC-01 SP2023159006","ARHI186C SC-01 SP2023","1445","1600","--T-R--","SC BX 108","OnCampus"
"ARHI186G PO-01 SP2023159948","ARHI186G PO-01 SP2023","935","1050","--T-R--","PO LE 110","OnCampus"
"ARHI186N SC-01 SP2023161157","ARHI186N SC-01 SP2023","1445","1730","-M-----","SC BX 108","OnCampus"
"ARHI186Z PZ-01 SP2023160826","ARHI186Z PZ-01 SP2023","1315","1600","----R--","PZ AV 224","OnCampus"
"ARHI187  PO-01 SP2023159949","ARHI187  PO-01 SP2023","1315","1600","--T----","PO LE 201","OnCampus"
"ARHI188  SC-01 SP2023159008","ARHI188  SC-01 SP2023","1100","1215","--T-R--","SC BX 108","OnCampus"
"ARHI191  PO-04 SP2023158488","ARHI191  PO-04 SP2023","0","0","-------"," ARR ","OnCampus"
"ARHI191  PO-08 SP2023158489","ARHI191  PO-08 SP2023","0","0","-------"," ARR ","OnCampus"
"ARHI191  PO-12 SP2023158490","ARHI191  PO-12 SP2023","0","0","-------"," ARR ","OnCampus"
"ARHI191  PO-16 SP2023158491","ARHI191  PO-16 SP2023","0","0","-------"," ARR ","OnCampus"
"ARHI191  PO-20 SP2023160889","ARHI191  PO-20 SP2023","0","0","-------"," ARR ","OnCampus"
"ARHI191  SC-01 SP2023161130","ARHI191  SC-01 SP2023","0","0","-------","SC ARR ","OnCampus"
"ARHI191  SC-02 SP2023162534","ARHI191  SC-02 SP2023","0","0","-------","SC ARR ARR","OnCampus"
"ART 005  PO-01 SP2023159950","ART 005  PO-01 SP2023","935","1205","-M-W---","PO STAR 216","OnCampus"
"ART 010  PO-01 SP2023159951","ART 010  PO-01 SP2023","1315","1545","--T-R--","PO STAR 201","OnCampus"
"ART 011  PZ-01 SP2023161351","ART 011  PZ-01 SP2023","1315","1745","----R--","PZ RRC 112","OnCampus"
"ART 016  PZ-01 SP2023161231","ART 016  PZ-01 SP2023","1315","1545","--T-R--","PZ MC WART","OnCampus"
"ART 020  PO-01 SP2023159952","ART 020  PO-01 SP2023","935","1205","--T-R--","PO STAR 214","OnCampus"
"ART 021  PO-01 SP2023159953","ART 021  PO-01 SP2023","1315","1545","--T-R--","PO STAR 215","OnCampus"
"ART 030  PZ-01 SP2023161267","ART 030  PZ-01 SP2023","1000","1230","--T-R--","PZ MC EART","OnCampus"
"ART 033  PO-02 SP2023159954","ART 033  PO-02 SP2023","1315","1545","-M-W---","PO STAR 206","OnCampus"
"ART 060  HM-01 FA2023161623","ART 060  HM-01 FA2023","1800","2100","--T----","CU HD H109","OnCampus"
"ART 060  HM-01 SP2023156594","ART 060  HM-01 SP2023","1800","2100","--T----","CU HD H109","OnCampus"
"ART 102  SC-01 SP2023160805","ART 102  SC-01 SP2023","1315","1545","--T-R--","SC LA 209","OnCampus"
"ART 112  PZ-01 SP2023160512","ART 112  PZ-01 SP2023","1000","1230","-M-W---","PZ RRC 112","OnCampus"
"ART 113  PZ-01 SP2023160513","ART 113  PZ-01 SP2023","1315","1545","-M-W---","PZ RRC 112","OnCampus"
"ART 115  PO-01 SP2023159955","ART 115  PO-01 SP2023","935","1205","--T-R--","PO STAR 215","OnCampus"
"ART 119  PZ-01 SP2023160517","ART 119  PZ-01 SP2023","1000","1230","--T-R--","PZ MC WART","OnCampus"
"ART 121  SC-01 SP2023160806","ART 121  SC-01 SP2023","1000","1230","--T-R--","SC LCAB 100","OnCampus"
"ART 123  PZ-01 SP2023160819","ART 123  PZ-01 SP2023","1315","1745","---W---","PZ SKD P104","OnCampus"
"ART 126  PZ-01 SP2023160821","ART 126  PZ-01 SP2023","1315","1745","-----F-","PZ SC B12","OnCampus"
"ART 126A SC-01 SP2023160802","ART 126A SC-01 SP2023","1000","1200","-M-W---","SC LCAB 100","OnCampus"
"ART 126B PO-01 SP2023159956","ART 126B PO-01 SP2023","1315","1545","-M-W---","PO STAR 106","OnCampus"
"ART 126B SC-01 SP2023160804","ART 126B SC-01 SP2023","1315","1545","-M-W---","SC LCAB 100","OnCampus"
"ART 127  PO-01 SP2023159957","ART 127  PO-01 SP2023","935","1205","-M-W---","PO STAR 106","OnCampus"
"ART 135  SC-01 SP2023160809","ART 135  SC-01 SP2023","1000","1200","-M-W---","SC LA 100","OnCampus"
"ART 136  SC-01 SP2023160808","ART 136  SC-01 SP2023","1315","1515","-M-W---","SC LA 100","OnCampus"
"ART 141  SC-01 SP2023159009","ART 141  SC-01 SP2023","1315","1515","--T-R--","SC ST 5","OnCampus"
"ART 142  SC-01 SP2023159010","ART 142  SC-01 SP2023","1615","1845","-M-W---","SC ST 5","OnCampus"
"ART 143  SC-01 SP2023159011","ART 143  SC-01 SP2023","1000","1230","--T-R--","SC ST 5","OnCampus"
"ART 145  SC-01 SP2023161507","ART 145  SC-01 SP2023","1315","1515","--T-R--","SC LA 119","OnCampus"
"ART 147  SC-01 SP2023160800","ART 147  SC-01 SP2023","1000","1200","-M-W---","SC ST 5","OnCampus"
"ART 147  SC-01 SP2023160801","ART 147  SC-01 SP2023","1000","1200","-M-W---","SC LA 119","OnCampus"
"ART 148  SC-01 SP2023159012","ART 148  SC-01 SP2023","1315","1515","----R--","SC LA 214","OnCampus"
"ART 148  SC-01 SP2023161543","ART 148  SC-01 SP2023","1315","1515","--T----","PZ WST Q120","OnCampus"
"ART 148  SC-01 SP2023161545","ART 148  SC-01 SP2023","1315","1515","--T----","PZ SKD P104","OnCampus"
"ART 149  SC-01 SP2023159013","ART 149  SC-01 SP2023","1000","1200","--T-R--","SC LA 214","OnCampus"
"ART 151  JT-01 SP2023160807","ART 151  JT-01 SP2023","1315","1545","--T-R--","SC LA 116","OnCampus"
"ART 179K HM-01 FA2023161624","ART 179K HM-01 FA2023","1000","1230","-M-W---","HM PA 1283","OnCampus"
"ART 179K HM-01 SP2023160635","ART 179K HM-01 SP2023","1000","1230","-----F-","HM PA 1283","OnCampus"
