"permCountExternalId","PermCount"
"BIOL108  HM-01 SP2023","8"
"BIOL111  KS-01 SP2023","10"
"BIOL116  PO-01 SP2023","12"
"BIOL119  KS-01 SP2023","28"
"BIOL131L KS-01 SP2023","15"
"BIOL138  KS-01 SP2023","19"
"BIOL143  KS-01 SP2023","2"
"BIOL143  KS-02 SP2023","28"
"BIOL150ALKS-01 SP2023","2"
"BIOL154  HM-01 SP2023","3"
"BIOL157L KS-01 SP2023","24"
"BIOL164  KS-01 SP2023","1"
"BIOL165A PO-01 SP2023","7"
"BIOL168L KS-01 SP2023","46"
"BIOL169  PO-01 SP2023","5"
"BIOL169 LPO-01 SP2023","2"
"BIOL170L KS-01 SP2023","7"
"BIOL173  PO-01 SP2023","1"
"BIOL174  PO-01 SP2023","3"
"BIOL175  KS-01 SP2023","30"
"BIOL175  KS-02 SP2023","1"
"BIOL176  KS-01 SP2023","11"
"BIOL182  HM-01 SP2023","2"
"BIOL184  HM-01 SP2023","1"
"BIOL185E HM-01 SP2023","3"
"BIOL185F HM-01 SP2023","1"
"BIOL187F KS-01 SP2023","5"
"BIOL187M KS-01 SP2023","2"
"BIOL187P KS-01 SP2023","5"
"BIOL187T KS-01 SP2023","7"
"BIOL191F PO-12 SP2023","1"
"BIOL191F PO-24 SP2023","3"
"BIOL193  HM-02 SP2023","2"
"BIOL193  HM-05 SP2023","1"
"BIOL193  HM-06 SP2023","2"
"BIOL193  HM-07 SP2023","1"
"BIOL193  HM-08 SP2023","3"
"BIOL194B PO-04 SP2023","1"
"BIOL194B PO-32 SP2023","1"
"BIOL194B PO-36 SP2023","3"
"BIOL196  KS-01 SP2023","25"
"BIOL197  KS-01 SP2023","9"
"CASA101  PZ-01 SP2023","26"
"CASA105  PZ-01 SP2023","22"
"CGS 038  PZ-01 SP2023","12"
"CGS 050  PZ-01 SP2023","8"
"CGS 060  PZ-01 SP2023","21"
"CGS 075  PZ-01 SP2023","7"
"CGS 120  PZ-01 SP2023","19"
"CGS 122  PZ-01 SP2023","11"
"CGS 146  PZ-01 SP2023","6"
"CGS 190  PZ-01 SP2023","1"
"CHEM001BLPO-01 SP2023","4"
"CHEM015L KS-03 SP2023","3"
"CHEM015L KS-04 SP2023","2"
"CHEM015L KS-05 SP2023","2"
"CHEM015L KS-07 SP2023","4"
"CHEM015L KS-08 SP2023","2"
"CHEM015L KS-09 SP2023","2"
"CHEM024  HM-01 SP2023","3"
"CHEM024  HM-03 SP2023","1"
"CHEM024  HM-05 SP2023","5"
"CHEM029L KS-01 SP2023","21"
"CHEM042R HM-02 SP2023","1"
"CHEM042R HM-05 SP2023","1"
"CHEM070L KS-01 SP2023","1"
"CHEM070L KS-02 SP2023","2"
"CHEM081L KS-01 SP2023","1"
"CHEM110B PO-01 SP2023","2"
"CHEM110B PO-02 SP2023","6"
"CHEM110B PO-04 SP2023","1"
"CHEM110BLPO-01 SP2023","16"
"CHEM110BLPO-02 SP2023","1"
"CHEM112  PO-01 SP2023","2"
"CHEM115  PO-01 SP2023","11"
"CHEM115 LPO-01 SP2023","4"
"CHEM115 LPO-02 SP2023","3"
"CHEM117L KS-01 SP2023","23"
"CHEM117L KS-03 SP2023","1"
"CHEM117LXKS-01 SP2023","20"
"CHEM117LXKS-02 SP2023","1"
"CHEM117LXKS-03 SP2023","1"
"CHEM147  PO-01 SP2023","8"
"CHEM147 LPO-01 SP2023","8"
"CHEM150  HM-01 SP2023","3"
"CHEM152  HM-04 SP2023","1"
"CHEM152  HM-06 SP2023","1"
"CHEM152  HM-08 SP2023","1"
"CHEM152  HM-09 SP2023","1"
"CHEM152  HM-12 SP2023","1"
"CHEM152  HM-18 SP2023","1"
"CHEM152  HM-19 SP2023","1"
"CHEM152  HM-20 SP2023","1"
"CHEM152  HM-21 SP2023","1"
"CHEM156  PO-01 SP2023","2"
"CHEM158B PO-01 SP2023","1"
"CHEM172  PO-01 SP2023","14"
"CHEM175  PO-01 SP2023","17"
"CHEM180  KS-01 SP2023","5"
"CHEM182  HM-01 SP2023","1"
"CHEM184  HM-01 SP2023","3"
"CHEM193P HM-01 SP2023","3"
"CHEM194  PO-16 SP2023","4"
"CHEM196  KS-01 SP2023","12"
"CHEM197  KS-01 SP2023","6"
"CHIN051H PO-01 SP2023","8"
"CHIN192A PO-04 SP2023","1"
"CHLT056  CH-01 SP2023","1"
"CHLT056  CH-02 SP2023","1"
"CHLT081  CH-01 SP2023","4"
