"HMID","Major","ACCT",""
"HMID","Major","ASAM",""
"HMID","Major","BIOL",""
"HMID","Major","CL",""
"HMID","Major","CLES",""
"HMID","Major","CORE",""
"HMID","Major","CSMT",""
"HMID","Major","EA",""
"HMID","Major","ENTR",""
"HMID","Major","FYS",""
"HMID","Major","ID",""
"HMID","Major","IE",""
"HMID","Major","OSCI",""
"HMID","Major","WRIT",""
"HMS","Major","MS",""
"HMTH","Major","HMTH",""
"HMTH","Major","MATH",""
"HMUS","Major","MUS",""
"HPE","Major","PE",""
"HPHL","Major","PHIL",""
"HPHY","Major","ASTR",""
"HPHY","Major","PHYS",""
"HPSY","Major","PSYC",""
"HREG","Major","FS",""
"HREG","Major","ID",""
"HREG","Major","PE",""
"HSSC","Major","SOSC",""
"HSTS","Major","HSS",""
"HSTS","Major","IE",""
"HSTS","Major","STS",""
"ID","Major","ID",""
"MCMC","Major","AMST",""
"MCMC","Major","ARHI",""
"MCMC","Major","BLCK",""
"MCMC","Major","CSCI",""
"MCMC","Major","ECON",""
"MCMC","Major","GWS",""
"MCMC","Major","HIST",""
"MCMC","Major","ID",""
"MCMC","Major","MS",""
"MCMC","Major","NEUR",""
"MCMC","Major","ORST",""
"MCMC","Major","OSCI",""
"MCMC","Major","SPCH",""
"MECO","Major","ECON",""
"MFIN","Major","FIN",""
"MGVT","Major","ECON",""
"MGVT","Major","GOVT",""
"MGVT","Major","MGVT",""
"MHIS","Major","ARHI",""
"MHIS","Major","CLAS",""
"MHIS","Major","GOVT",""
"MHIS","Major","HIST",""
"MHIS","Major","PHIL",""
"MIDS","Major","AFRI",""
"MIDS","Major","AMST",""
"MIDS","Major","ARHI",""
"MIDS","Major","ART",""
"MIDS","Major","ASIA",""
"MIDS","Major","BLCK",""
"MIDS","Major","CHST",""
"MIDS","Major","CIV",""
"MIDS","Major","CLAS",""
"MIDS","Major","DGHM",""
"MIDS","Major","EA",""
"MIDS","Major","FHS",""
"MIDS","Major","GOVT",""
"MIDS","Major","ID",""
"MIDS","Major","LAST",""
"MIDS","Major","LIT",""
"MIDS","Major","MS",""
"MIDS","Major","PPE",""
"MIDS","Major","SPCH",""
"MIDS","Major","THES",""
"MIDS","Major","WGFS",""
"MIRL","Major","IR",""
"MLIT","Major","LIT",""
"MLIT","Major","MS",""
"MLIT","Major","WGFS",""
"MMAT","Major","CSCI",""
"MMAT","Major","MATH",""
"MMIL","Major","MILS",""
"MMOD","Major","AFRI",""
"MMOD","Major","ARBC",""
"MMOD","Major","BLCK",""
"MMOD","Major","CHIN",""
"MMOD","Major","FLAN",""
"MMOD","Major","FREN",""
"MMOD","Major","GERM",""
"MMOD","Major","KORE",""
"MMOD","Major","LIT",""
"MMOD","Major","PORT",""
"MMOD","Major","SPAN",""
"MMOD","Major","SPNT",""
"MPED","Major","PE",""
"MPHI","Major","PHIL",""
"MPRL","Major","PHIL",""
"MPRL","Major","PPE",""
"MPRL","Major","RLST",""
"MPSY","Major","PSYC",""
"MREG","Major","PSYC",""
"MRLS","Major","RLST",""
"MSCI","Major","BIOL",""
"MSCI","Major","SCI",""
"PAAS","Major","ASAM",""
"PAAS","Major","ASIA",""
"PAAS","Major","ENGL",""
"PAFR","Major","AFRI",""
"PALL","Major","CHIN",""
"PALL","Major","CHNT",""
"PALL","Major","JAPN",""
"PALL","Major","JPNT",""
"PAMS","Major","AMST",""
"PANT","Major","ANTH",""
"PARH","Major","ARHI",""
"PARS","Major","ART",""
"PART","Major","ARHI",""
"PART","Major","ART",""
"PART","Major","MS",""
"PASI","Major","ASIA",""
"PASI","Major","MES",""
"PBIO","Major","BIOL",""
"PBLK","Major","BLCK",""
"PCHE","Major","CHEM",""
"PCHN","Major","CHIN",""
"PCHN","Major","CHNT",""
"PCHS","Major","CHLT",""
"PCHS","Major","CHST",""
"PCHS","Major","DANC",""
"PCLA","Major","CLAS",""
"PCLA","Major","LAMS",""
"PCLA","Major","LATN",""
"PCSC","Major","CSCI",""
"PDNC","Major","DANC",""
"PECO","Major","ECON",""
"PENG","Major","ENGL",""
"PEVA","Major","EA",""
"PEVA","Major","ENVS",""
"PFRN","Major","FREN",""
"PGEO","Major","GEOL",""
"PGRM","Major","GERM",""
"PGRM","Major","GRMT",""
"PGRU","Major","GERM",""
"PGRU","Major","GRMT",""
